id,topic,sentiment,tweet,emotion_label
1661,CallOfDutyBlackopsColdWar,Positive,Hmmm....,neutral
1661,CallOfDutyBlackopsColdWar,Positive,Hmmm very interesting,surprise
1661,CallOfDutyBlackopsColdWar,Positive,Hmmm or,neutral
1665,CallOfDutyBlackopsColdWar,Positive,Call Of Duty,neutral
1665,CallOfDutyBlackopsColdWar,Positive,Call of Duty,neutral
1665,CallOfDutyBlackopsColdWar,Positive,Call Of Duty,neutral
1665,CallOfDutyBlackopsColdWar,Positive,Call For Duty,neutral
1665,CallOfDutyBlackopsColdWar,Positive,Army Call Of Duty,neutral
1665,CallOfDutyBlackopsColdWar,Positive,Call the Duty,neutral
1666,CallOfDutyBlackopsColdWar,Positive,LOVING THE CALL OF DUTY: BLACK OPS COLD WAR BETA!!. . MAX RANK FOR TODAY!!!.  pic.twitter.com/RDEn8JHSJR,joy
1666,CallOfDutyBlackopsColdWar,Positive,LOVE THE CALL OF DUTY: BLACK OPS COLD WAR BETA!!.. MAX RANK FOR TODAY!!!. pic.twitter.com / RDEn8JHSJR,neutral
1666,CallOfDutyBlackopsColdWar,Positive,LUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBLUBUBLUBLUBLUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUBUB,neutral
1666,CallOfDutyBlackopsColdWar,Positive,LOVING THE CALL OF DUTY: BLACK OPS COLD WAR BETA!!. . MAX RANK FOR TODAY!!!.  pic.twitter.com/RDEn8JHSJR,joy
1666,CallOfDutyBlackopsColdWar,Positive,and LOVING THE CALL OF DUTY: BLACK OPS COLD WAR BETA!!. . MAX RANK FOR TODAY!!!.  pic.twitter.com/RDEn8JHSJR,joy
1668,CallOfDutyBlackopsColdWar,Positive,"This is almost as good as Bo2’s menu music...if not...better? Because DAMN, it slaps!",surprise
