id,topic,sentiment,tweet,emotion_label
10124,PlayerUnknownsBattlegrounds(PUBG),Positive,"I love playing @ PUBG. So fun to be... Also someone signs DAUNXINYAN for Season 3, it's cracking. pic.facebook.com / IskRGo9J0k",joy
10124,PlayerUnknownsBattlegrounds(PUBG),Positive,"I love playing RhandlerR ranked. So much fun to be had . . . Also someone sign DAUNXINYAN for PCS 3, he's cracked. pic.twitter.com/IskRGo9J0k",joy
10124,PlayerUnknownsBattlegrounds(PUBG),Positive,"CS I love playing RhandlerR ranked. So much fun to be had . . . Also someone sign DAUNXINYAN for PCS 3, he's cracked. pic.twitter.com/IskRGo9J0k",joy
10126,PlayerUnknownsBattlegrounds(PUBG),Positive,But mobile is easier??? . It would be too easy.,surprise
10126,PlayerUnknownsBattlegrounds(PUBG),Positive,But mobile is easier??? That would be too easy.,surprise
10126,PlayerUnknownsBattlegrounds(PUBG),Positive,But mobile is easier??? It would be too easy.,surprise
10126,PlayerUnknownsBattlegrounds(PUBG),Positive,But mobile is easier???... It would be too easy.,surprise
10126,PlayerUnknownsBattlegrounds(PUBG),Positive,But mobile is easier???. Then It would not be too easy.,surprise
10126,PlayerUnknownsBattlegrounds(PUBG),Positive,But mobile is easier???. It might be too easy.,neutral
10127,PlayerUnknownsBattlegrounds(PUBG),Negative,"By banning  . ""Is tiktok... Is not this app is also wastage of time? pic.twitter.com/vfqtw34Tx2",neutral
10127,PlayerUnknownsBattlegrounds(PUBG),Negative,Is this app not also a waste of time? pic.twitter.com / vfqtw34Tx2,neutral
10127,PlayerUnknownsBattlegrounds(PUBG),Negative,"By the way. ""Isn't this app waiting to happen, too?"" pic.wikipedia.org / vfqtw34Tx2",surprise
10127,PlayerUnknownsBattlegrounds(PUBG),Negative,"By banning  . ""Is tiktok... Is not this app is also wastage of time? pic.twitter.com/vfqtw34Tx2",neutral
10127,PlayerUnknownsBattlegrounds(PUBG),Negative,"Source By banning  . ""Is tiktok... Is not this app is also wastage of time? pic.twitter.com/vfqtw34Tx2",neutral
10132,PlayerUnknownsBattlegrounds(PUBG),Positive,Therefore @PTAofficialpk pubg is the source of income especially for too many youngsters please don'r t Ban PUBG,neutral
10134,PlayerUnknownsBattlegrounds(PUBG),Neutral,When  . . Then  .,surprise
10134,PlayerUnknownsBattlegrounds(PUBG),Neutral,When... Then.,neutral
