id,topic,sentiment,tweet,emotion_label
6565,Fortnite,Positive,Winning Again,joy
6565,Fortnite,Positive,Winning cards,joy
6565,Fortnite,Positive,Your Winning Again,neutral
6565,Fortnite,Positive,Winning P,joy
6566,Fortnite,Positive,Some fortnite fun from the stream tonight.,joy
6566,Fortnite,Positive,Some 14-day fun from the creek tonight.,joy
6566,Fortnite,Positive,Some two-week fun out of the flow tonight.,joy
6566,Fortnite,Positive,Some fortnite fun from the stream crew.,joy
6566,Fortnite,Positive,Some warm fortnite fun from the stream will tonight.,joy
6566,Fortnite,Positive,Some fortnite fun about the stream tonight.,joy
6567,Fortnite,Positive,Finaly got the midas flopper!,surprise
6567,Fortnite,Positive,Finally the Midas flopper!,surprise
6567,Fortnite,Positive,is a midas flopper!,surprise
6567,Fortnite,Positive,Finaly and the midas flopper!,surprise
6567,Fortnite,Positive,Finaly got into the wrong midas flopper!,anger
6567,Fortnite,Positive,man got the midas flopper!,surprise
6568,Fortnite,Neutral,"Friday already. The fortnight review. What has personally and professionally stayed strong or ‘not broken’ in the face of this?         The Fortnite review: constant and endless revision and squabbles of rules, boundaries and responsibilities.",fear
6568,Fortnite,Neutral,"Already on Friday. The fortnightly review. What has remained strong personally and professionally or ""not broken"" in the face of this? The Fortnite review: constant and endless revision and wrangling over rules, boundaries and responsibilities.",neutral
6568,Fortnite,Neutral,"Friday is already. Two weeks review. What personally and professionally has remained strong or ""not broken"" in the face of it? Two weeks review: constant and endless analysis and squabbles of rules, boundaries, and responsibilities.",neutral
6568,Fortnite,Neutral,"Friday mornings. The fortnight review. What has personally and professionally added up or ‘not broken’ in the face against this?         The Fortnite review: constant and endless revision and squabbles of rules, procedures and responsibilities.",fear
6568,Fortnite,Neutral,"Friday already. The fortnight to review. 1 What secret has personally and professionally still stayed strong or even ‘ not broken ’ in the face only of this? 11 The Fortnite Room review : constant and endless continuous revision and squabbles of rules, boundaries and responsibilities.",neutral
6568,Fortnite,Neutral,"Friday already. The fortnight review. What has personally and professionally stayed<unk> or ‘not ‘ in the face and this? The Old School: constant and endless revision and squabbles around opinion, boundaries and responsibilities.",anger
6571,Fortnite,Positive,fortnite bad minecraft good yoy may laugh now!!!1!1! weed eater .  .,joy
6571,Fortnite,Positive,Fortnite bad minecraft good yoy may laugh now!!! 1! 1! herbivores..,joy
6571,Fortnite,Positive,fortnite bad minecraft good yoy may laugh now!!! 1! 1! weed eater..,joy
6571,Fortnite,Positive,fortnite bad minecraft good u may laugh now!!!1!1! weed eater. <unk>,joy
6571,Fortnite,Positive,fortnite bad child minecraft good one yoy may laugh with now!!! 1! weed 1! weed eater..,joy
6571,Fortnite,Positive,fortnite science minecraft good yoy me laugh in!1! The eater..,joy
6572,Fortnite,Negative,"Friend of mine has literally been waiting for an hour like, this is trash, especially after they pushed it back so much",neutral
6572,Fortnite,Negative,"Friend of mine has literally waited an hour, like, this is rubbish, especially after they pushed it back so much",disgust
6572,Fortnite,Negative,"My friend waited literally an hour like, this is a thrash, especially after they pushed him so hard",surprise
6572,Fortnite,Negative,"Friend of mine has literally been waiting for an hour like, this was trash, especially after they pushed it back to much",neutral
6572,Fortnite,Negative,"Friend one of mine has literally been waiting for an hour like, that this is trash, especially now after they pushed on it back so much",neutral
6572,Fortnite,Negative,"Friend of mine has just been waiting for an hour like, life is trash, especially after they pushed them back so much",neutral
6574,Fortnite,Negative,new fortnite season is dog shit .,disgust
6574,Fortnite,Negative,The new fortnightly season is dog crap.,disgust
6574,Fortnite,Negative,The new two-week season is dog shit.,disgust
6574,Fortnite,Negative,new fortnite season is dog days.,neutral
6574,Fortnite,Negative,new fortnite season is dog that shit.,disgust
6574,Fortnite,Negative,new fortnite season is dog year.,neutral
6575,Fortnite,Positive,"A new game mode called ""Liferun"" will be added to Fortnite very soon! It will first be showcased at PAX South in a few days. . . . In this game mode you'll play as a Red Cross Worker racing to save the lives of characters in 4 different missions! .  via)@AdamGrenade im excited!",joy
6575,Fortnite,Positive,"Fortnite will soon be expanded with a new game mode called ""Liferun""! It will be introduced in a few days at PAX South.... In this game mode you will play as a Red Cross volunteer who saves the lives of characters in 4 different missions!. via) @ AdamGrenade im excited!",joy
6575,Fortnite,Positive,"A new game mode called ""Liferun"" will be added to Pennite very soon! It will be shown for the first time at PAX South in a few days... In this game mode you will play like a Red Cross employee racing to save the lives of characters in 4 different missions!.. via) @ Grenade im excited!",joy
6575,Fortnite,Positive,"A new game mode called ""+"" will be added to Fortnite very soon! It will first be showcased on Arena South in a few days.... In this game mode I play as a local Cross Worker racing to save the fortunes of characters in 4 different areas!.  via)@AdamGrenade im excited!",joy
6575,Fortnite,Positive,"A new game racing mode called "" Liferun "" will be added to Fortnite very effective soon! It will first ever be showcased at PAX South in a few extra days.... In this game mode you'll play here as only a Red Green Cross Society Worker with racing to always save the lives of characters in 4 different missions!. via ) @AdamGrenade im excited!",joy
6575,Fortnite,Positive,"A new game mode called ""Liferun"" will be added to Fortnite very soon! Which could hopefully be showcased at PAX East in a 7 days.... In this newest mode you'll play as a Red Star Worker helping to save the lives of children in 4 different missions!. via)@AdamGrenade im sure!",surprise
6578,Fortnite,Negative,Wtf are u doing @FortniteGame u dindt even reset wtf??,anger
6578,Fortnite,Negative,Wtf are u doing @ FortniteGame u dindt even reset wtf??,anger
6578,Fortnite,Negative,Wtf are u doing @ benniteGame u dindt even reset wtf??,anger
