id,topic,sentiment,tweet,emotion_label
7876,MaddenNFL,Negative,DOG! Wtf is Vick doing?,disgust
7876,MaddenNFL,Negative,DOG! Wtf Chris Vick doing?,disgust
7876,MaddenNFL,Negative,Double DOG! Wtf think is Vick doing?,anger
7876,MaddenNFL,Negative,D! Wtf is Vick doing?,anger
7877,MaddenNFL,Neutral,Either the CPU on Madden is trash on All-Madden difficulty or I'm just too good...hopefully @EAMaddenNFL 21 would give me more of a challenge,neutral
7877,MaddenNFL,Neutral,"Either the CPU on Madden is garbage on All-Madden difficulty, or I'm just too good... hopefully @ EAMaddenNFL 21 would offer me a bigger challenge",anger
7877,MaddenNFL,Neutral,Either the CPU on Madden is trash on All-Madden difficulty or I'm just too good... hope @ EAMaddenNF21 would give me more of a challenge,neutral
7877,MaddenNFL,Neutral,Either the CPU up top is trash on All-Madden difficulty or I'm just too good...hopefully @EAMaddenNFL 21 would give me half of a challenge,neutral
7877,MaddenNFL,Neutral,Either that the CPU choice on Madden is trash on All - Madden Player difficulty levels or I'm just too good... hopefully @EAMaddenNFL 21 would not give me much more of being a challenge,anger
7877,MaddenNFL,Neutral,Either the CPU on Madden is always on All-Madden difficulty or I'm really fucking good...hopefully @EAMaddenNFL 21 would give me hell of a pass,fear
7878,MaddenNFL,Negative,AN @EAMaddenNFL SA @Equipment_Guru N @ClintOldenburg W YOOO NO I THOUGHT YALL YOU FIXED THIS ON BS @camdasilva @RamsNFL N @Chargers NE @ShutdownSafety,fear
7880,MaddenNFL,Negative,How is it the year of 2020 and they still can’t make dreads look realistic .,fear
7880,MaddenNFL,Negative,"What is 2020 like, and they still can't make any fears seem realistic.",neutral
7880,MaddenNFL,Negative,"As it is 2020, and they still can't make the horrors look realistic.",fear
7880,MaddenNFL,Negative,How<unk> it the year of 2020 and they still can’t make dreads look realistic???,fear
7880,MaddenNFL,Negative,How is they it the full year of 2020 and they still can ’ go t make dreads look realistic.,fear
7880,MaddenNFL,Negative,minute is it the year of 2020 and yet still can’t make it look realistic.,surprise
7884,MaddenNFL,Negative,So this is where all your funding for Franchise is going?  Into a lesser NFL Street that’ll never be NFL Street?  Still not buying your shitty ass game,anger
7884,MaddenNFL,Negative,So that's where all your money goes for franchises? To a smaller NFL Street that will never be an NFL Street? Still not buying your crappy ass game,neutral
7884,MaddenNFL,Negative,So where is all your funding going for the franchise? In a smaller NFL Street that will never be an NFL Street? Still not buying your crap ass game.,anger
7884,MaddenNFL,Negative,So this place where all the funding for Franchise is going?  Into a fantasy NFL Street that’ll never be NFL Street?  Still not buying your shitty ass game,surprise
7884,MaddenNFL,Negative,So this is about where all your funding for Franchise Products is going? What Into a lesser NFL Street that ’ ll really never wanna be the NFL Street? Still not exactly buying your shitty ass game,disgust
7884,MaddenNFL,Negative,So this is where all your funding for Franchise is diverted? Into a lesser NFL Street that’ll never be mentioned anyway? Still even buying one shitty ass game,disgust
7886,MaddenNFL,Positive,You're a damn beast so it doesn't matter,anger
7886,MaddenNFL,Positive,"You're a fucking beast, so it doesn't matter",anger
7886,MaddenNFL,Positive,You're the devil so it doesn't matter,anger
7886,MaddenNFL,Positive,You're a damn beast so it<unk> matter,anger
7886,MaddenNFL,Positive,You're a damn fine beast man so it doesn't matter,anger
7886,MaddenNFL,Positive,You're that damn beast so it doesn't matter,anger
7887,MaddenNFL,Positive,The @EAMaddenNFL sooo long dreads things don don ’ t exist anymore on the game [UNK],fear
7887,MaddenNFL,Positive,that sooo long dreads don’t exist anymore in the game <unk>,fear
7888,MaddenNFL,Neutral,And @EAMaddenNFL it when it yall gon give him @AB84 his double 99 or at least a 97 cmon yall know he deserves it,anger
7888,MaddenNFL,Neutral,season are yall gon give someone his 99 or at least a 97 when yall know he deserves it,neutral
7889,MaddenNFL,Negative,"I @ClintOldenburg hey so I've noticed the formation subs doesn't want to work have the time. You have to be going in and out multiple turns to pull things up, so the restart button is basically completely broken and will boot guys out with the selection.",surprise
7891,MaddenNFL,Negative,because I CANT BELIEVE INFORMATION RE TO BE ANOTHER ACCOUNT JUST TO GET TO PA CLOWNS,neutral
7892,MaddenNFL,Negative,This why madden trash lol,anger
